Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Total_Acessos,Porcentaje_ADSL,Porcentaje_Cablemodem,Porcentaje_Fibra óptica,Porcentaje_Wireless,Porcentaje_Otros,Accesos trimestre anterior
2014,1,Buenos Aires,1567685.0,1000879.0,120960.0,16528.0,33824.0,2739876.0,2739876.0,57.22%,36.53%,4.41%,0.60%,1.23%,
2014,2,Buenos Aires,1568881.0,1025490.0,120008.0,17020.0,33147.0,2764546.0,2764546.0,56.75%,37.09%,4.34%,0.62%,1.20%,120960.0
2014,3,Buenos Aires,1562533.0,1110628.0,124474.0,20049.0,31881.0,2849565.0,2849565.0,54.83%,38.98%,4.37%,0.70%,1.12%,120008.0
2014,4,Buenos Aires,1575978.0,1070135.0,120528.0,17728.0,32038.0,2816407.0,2816407.0,55.96%,38.00%,4.28%,0.63%,1.14%,124474.0
2015,1,Buenos Aires,1583135.0,1096836.0,134177.0,18754.0,28940.0,2861842.0,2861842.0,55.32%,38.33%,4.69%,0.66%,1.01%,120528.0
2015,2,Buenos Aires,1581770.0,1141052.0,115660.0,19268.0,26040.0,2883790.0,2883790.0,54.85%,39.57%,4.01%,0.67%,0.90%,134177.0
2015,3,Buenos Aires,1585467.0,1183894.0,113590.0,19989.0,25825.0,2928765.0,2928765.0,54.13%,40.42%,3.88%,0.68%,0.88%,115660.0
2015,4,Buenos Aires,1586343.0,1223603.0,103269.0,20397.0,25773.0,2959385.0,2959385.0,53.60%,41.35%,3.49%,0.69%,0.87%,113590.0
2016,1,Buenos Aires,1583560.0,1200859.0,111231.0,21108.0,25757.0,2942515.0,2942515.0,53.82%,40.81%,3.78%,0.72%,0.88%,103269.0
2016,2,Buenos Aires,1579448.0,1305949.0,113070.0,21163.0,25661.0,3045291.0,3045291.0,51.87%,42.88%,3.71%,0.69%,0.84%,111231.0
2016,3,Buenos Aires,1574216.0,1355770.0,113463.0,18867.0,24276.0,3086592.0,3086592.0,51.00%,43.92%,3.68%,0.61%,0.79%,113070.0
2016,4,Buenos Aires,1563542.0,1414676.0,118747.0,21394.0,24342.0,3142701.0,3142701.0,49.75%,45.01%,3.78%,0.68%,0.77%,113463.0
2017,1,Buenos Aires,1559178.0,1465817.0,118839.0,21200.0,24342.0,3189376.0,3189376.0,48.89%,45.96%,3.73%,0.66%,0.76%,118747.0
2017,2,Buenos Aires,1378549.0,1535037.0,119132.0,21555.0,24358.0,3078631.0,3078631.0,44.78%,49.86%,3.87%,0.70%,0.79%,118839.0
2017,3,Buenos Aires,1288025.0,1571180.0,124920.0,35058.0,38777.0,3057960.0,3057960.0,42.12%,51.38%,4.09%,1.15%,1.27%,119132.0
2017,4,Buenos Aires,1241172.0,1718013.0,131181.0,60082.0,31448.0,3181896.0,3181896.0,39.01%,53.99%,4.12%,1.89%,0.99%,124920.0
2018,1,Buenos Aires,1452061.0,1793884.0,133928.0,64379.0,31194.0,3475446.0,3475446.0,41.78%,51.62%,3.85%,1.85%,0.90%,131181.0
2018,2,Buenos Aires,1450203.0,1807868.0,143626.0,71256.0,27746.0,3500699.0,3500699.0,41.43%,51.64%,4.10%,2.04%,0.79%,133928.0
2018,3,Buenos Aires,1435856.0,1929273.0,156382.0,62318.0,26448.0,3610277.0,3610277.0,39.77%,53.44%,4.33%,1.73%,0.73%,143626.0
2018,4,Buenos Aires,1305576.0,1949637.0,296102.0,65477.0,19814.0,3636606.0,3636606.0,35.90%,53.61%,8.14%,1.80%,0.54%,156382.0
2019,1,Buenos Aires,1304507.0,2020730.0,336362.0,64867.0,20201.0,3746667.0,3746667.0,34.82%,53.93%,8.98%,1.73%,0.54%,296102.0
2019,2,Buenos Aires,1284658.0,2079900.0,382971.0,75240.0,32929.0,3855698.0,3855698.0,33.32%,53.94%,9.93%,1.95%,0.85%,336362.0
2019,3,Buenos Aires,1277249.0,2144956.0,425386.0,85572.0,27070.0,3960233.0,3960233.0,32.25%,54.16%,10.74%,2.16%,0.68%,382971.0
