Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos trimestre anterior,KPI
2014,1,Buenos Aires,54.570072879439756,0.0,0.0
2014,2,Buenos Aires,55.06141695143392,54.57,0.9
2014,3,Buenos Aires,56.754739164071026,55.06,3.08
2014,4,Buenos Aires,56.09433653019754,56.75,-1.16
2015,1,Buenos Aires,56.37048433026737,56.09,0.49
2015,2,Buenos Aires,56.80280561439208,56.37,0.77
2015,3,Buenos Aires,57.68868105608009,56.8,1.56
2015,4,Buenos Aires,58.29182182733718,57.69,1.05
2016,1,Buenos Aires,57.33590782254113,58.29,-1.64
2016,2,Buenos Aires,59.33852679105808,57.34,3.49
2016,3,Buenos Aires,60.14329545468815,59.34,1.36
2016,4,Buenos Aires,61.236587430356856,60.14,1.82
2017,1,Buenos Aires,58.57400244920328,61.24,-4.35
2017,2,Buenos Aires,56.272144161691315,58.57,-3.93
2017,3,Buenos Aires,55.62938339533962,56.27,-1.14
2017,4,Buenos Aires,57.609615290258205,55.63,3.56
2018,1,Buenos Aires,62.62621166168454,57.61,8.71
2018,2,Buenos Aires,62.78226651094991,62.63,0.25
2018,3,Buenos Aires,64.44056759752046,62.78,2.64
2018,4,Buenos Aires,64.60284663484316,64.44,0.25
2019,1,Buenos Aires,66.24255522736811,64.6,2.54
2019,2,Buenos Aires,67.84713982374198,66.24,2.42
2019,3,Buenos Aires,69.35630106079125,67.85,2.22
2019,4,Buenos Aires,64.25205288245421,69.36,-7.36
2020,1,Buenos Aires,64.32563101743429,64.25,0.11
2020,2,Buenos Aires,65.2205801358229,64.33,1.39
2020,3,Buenos Aires,67.65618983090923,65.22,3.73
2020,4,Buenos Aires,68.97702220170737,67.66,1.95
2021,1,Buenos Aires,69.10524076185938,68.98,0.19
2021,2,Buenos Aires,70.00330336027972,69.11,1.3
2021,3,Buenos Aires,71.68218940101933,70.0,2.4
2021,4,Buenos Aires,75.66410602338475,71.68,5.55
2022,1,Buenos Aires,76.07814661157262,75.66,0.55
2022,2,Buenos Aires,77.58,76.08,1.97
2022,3,Buenos Aires,78.11,77.58,0.68
2022,4,Buenos Aires,78.94,78.11,1.06
2023,1,Buenos Aires,79.0,78.94,0.08
2023,2,Buenos Aires,79.67,79.0,0.85
2023,3,Buenos Aires,80.64,79.67,1.22
2023,4,Buenos Aires,80.96,80.64,0.4
2014,1,Capital Federal,112.25412278926913,0.0,0.0
2014,2,Capital Federal,113.1433524754098,112.25,0.79
2014,3,Capital Federal,113.8005123324155,113.14,0.58
2014,4,Capital Federal,114.89676550801623,113.8,0.96
2015,1,Capital Federal,114.89699714890288,114.9,0.0
2015,2,Capital Federal,116.06627091860372,114.9,1.02
2015,3,Capital Federal,118.28921116431961,116.07,1.92
2015,4,Capital Federal,118.13036321153807,118.29,-0.13
2016,1,Capital Federal,115.16005888884817,118.13,-2.51
2016,2,Capital Federal,120.03953504825309,115.16,4.24
2016,3,Capital Federal,120.77287775101534,120.04,0.61
2016,4,Capital Federal,120.63133173632356,120.77,-0.12
2017,1,Capital Federal,108.36920836560806,120.63,-10.16
2017,2,Capital Federal,124.06139375642523,108.37,14.48
2017,3,Capital Federal,121.85832590969336,124.06,-1.78
2017,4,Capital Federal,122.89742418734991,121.86,0.85
2018,1,Capital Federal,106.23567174586837,122.9,-13.56
2018,2,Capital Federal,106.53494128146691,106.24,0.28
2018,3,Capital Federal,108.44591411021922,106.53,1.79
2018,4,Capital Federal,108.27314997057414,108.45,-0.16
2019,1,Capital Federal,109.19616455883845,108.27,0.85
2019,2,Capital Federal,110.54556699485231,109.2,1.24
2019,3,Capital Federal,112.6453878037209,110.55,1.9
2019,4,Capital Federal,106.24546751041055,112.65,-5.68
2020,1,Capital Federal,105.98017414181909,106.25,-0.25
2020,2,Capital Federal,106.41480599073645,105.98,0.41
2020,3,Capital Federal,107.6759011657323,106.41,1.19
2020,4,Capital Federal,108.31107489043508,107.68,0.59
2021,1,Capital Federal,108.4199392232935,108.31,0.1
2021,2,Capital Federal,110.14440203212098,108.42,1.59
2021,3,Capital Federal,111.27105514250894,110.14,1.02
2021,4,Capital Federal,111.27002612891737,111.27,-0.0
2022,1,Capital Federal,111.79786269174652,111.27,0.47
2022,2,Capital Federal,121.31,111.8,8.51
2022,3,Capital Federal,122.28,121.31,0.8
2022,4,Capital Federal,122.73,122.28,0.37
2023,1,Capital Federal,122.59,122.73,-0.11
2023,2,Capital Federal,115.48,122.59,-5.8
2023,3,Capital Federal,116.4,115.48,0.8
2023,4,Capital Federal,117.02,116.4,0.53
2014,1,Catamarca,24.251751254585553,0.0,0.0
2014,2,Catamarca,24.703118860058403,24.25,1.86
2014,3,Catamarca,24.706121305327624,24.7,0.01
2014,4,Catamarca,25.513779082747998,24.71,3.27
2015,1,Catamarca,25.10946633078758,25.51,-1.58
2015,2,Catamarca,25.45341804469818,25.11,1.37
2015,3,Catamarca,25.863781184637624,25.45,1.61
2015,4,Catamarca,26.23945178859185,25.86,1.45
2016,1,Catamarca,25.910217981190538,26.24,-1.25
2016,2,Catamarca,26.074188059740646,25.91,0.63
2016,3,Catamarca,26.48067675746367,26.07,1.56
2016,4,Catamarca,26.543515589961913,26.48,0.24
2017,1,Catamarca,25.659350838021506,26.54,-3.33
2017,2,Catamarca,25.97712106768351,25.66,1.24
2017,3,Catamarca,32.49092567790524,25.98,25.08
2017,4,Catamarca,28.620950093924897,32.49,-11.91
2018,1,Catamarca,32.79361613741535,28.62,14.58
2018,2,Catamarca,32.8575008674866,32.79,0.19
2018,3,Catamarca,32.91594537411041,32.86,0.18
2018,4,Catamarca,32.225346166025346,32.92,-2.1
2019,1,Catamarca,32.190488956121285,32.23,-0.11
2019,2,Catamarca,32.13095022019278,32.19,-0.18
2019,3,Catamarca,30.883614526737205,32.13,-3.88
2019,4,Catamarca,36.43842912715547,30.88,17.99
2020,1,Catamarca,37.615427687460254,36.44,3.23
2020,2,Catamarca,45.43181818181818,37.62,20.78
2020,3,Catamarca,47.15709898417198,45.43,3.8
2020,4,Catamarca,49.40688354549741,47.16,4.77
2021,1,Catamarca,48.899092927848244,49.41,-1.03
2021,2,Catamarca,52.34030966263861,48.9,7.04
2021,3,Catamarca,52.709793486001274,52.34,0.71
2021,4,Catamarca,55.2526999859741,52.71,4.82
2022,1,Catamarca,58.20635083561171,55.25,5.35
2022,2,Catamarca,62.4,58.21,7.2
2022,3,Catamarca,65.33,62.4,4.7
2022,4,Catamarca,65.77,65.33,0.67
2023,1,Catamarca,66.17,65.77,0.61
2023,2,Catamarca,67.42,66.17,1.89
2023,3,Catamarca,68.55,67.42,1.68
2023,4,Catamarca,68.63,68.55,0.12
2014,1,Chaco,20.71853886384081,0.0,0.0
2014,2,Chaco,20.95799636749445,20.72,1.16
2014,3,Chaco,21.112666705262427,20.96,0.74
2014,4,Chaco,21.87078320023224,21.11,3.59
2015,1,Chaco,26.649591220305552,21.87,21.85
2015,2,Chaco,27.46453938839946,26.65,3.06
2015,3,Chaco,27.963072793479412,27.46,1.82
2015,4,Chaco,28.35056623514143,27.96,1.39
2016,1,Chaco,28.07514644775236,28.35,-0.97
2016,2,Chaco,28.5935505552226,28.08,1.85
2016,3,Chaco,28.910749068480953,28.59,1.11
2016,4,Chaco,28.786656085255263,28.91,-0.43
2017,1,Chaco,28.62166053842791,28.79,-0.57
2017,2,Chaco,29.045524775453423,28.62,1.48
2017,3,Chaco,29.975925647657625,29.05,3.2
2017,4,Chaco,30.808158111236537,29.98,2.78
2018,1,Chaco,30.829927645702472,30.81,0.07
2018,2,Chaco,31.251704996034892,30.83,1.37
2018,3,Chaco,32.283100833077576,31.25,3.3
2018,4,Chaco,32.59096087632982,32.28,0.95
2019,1,Chaco,32.635876579429485,32.59,0.14
2019,2,Chaco,34.14026097986763,32.64,4.61
2019,3,Chaco,35.8460309754608,34.14,5.0
2019,4,Chaco,36.835478630342415,35.85,2.76
2020,1,Chaco,37.483833369172615,36.84,1.76
2020,2,Chaco,39.83250279006581,37.48,6.27
2020,3,Chaco,41.54192057806515,39.83,4.29
2020,4,Chaco,43.030788649779105,41.54,3.58
2021,1,Chaco,43.13649241708794,43.03,0.25
2021,2,Chaco,43.32762729293539,43.14,0.44
2021,3,Chaco,42.96241007967663,43.33,-0.84
2021,4,Chaco,44.04856389025934,42.96,2.53
2022,1,Chaco,44.05948009941883,44.05,0.02
2022,2,Chaco,43.79,44.06,-0.61
2022,3,Chaco,43.86,43.79,0.16
2022,4,Chaco,43.62,43.86,-0.55
2023,1,Chaco,43.15,43.62,-1.08
2023,2,Chaco,42.87,43.15,-0.65
2023,3,Chaco,42.87,42.87,0.0
2023,4,Chaco,44.35,42.87,3.45
2014,1,Chubut,41.23521807972435,0.0,0.0
2014,2,Chubut,41.41020981991258,41.24,0.42
2014,3,Chubut,40.59867094427454,41.41,-1.96
2014,4,Chubut,40.24927468450274,40.6,-0.86
2015,1,Chubut,37.612780685907914,40.25,-6.55
2015,2,Chubut,36.58246720458481,37.61,-2.74
2015,3,Chubut,36.81180991463324,36.58,0.63
2015,4,Chubut,36.89017827786587,36.81,0.21
2016,1,Chubut,36.0927055378499,36.89,-2.16
2016,2,Chubut,36.12438565556337,36.09,0.09
2016,3,Chubut,36.17869442878647,36.12,0.15
2016,4,Chubut,36.07290546427898,36.18,-0.29
2017,1,Chubut,35.662220237763016,36.07,-1.14
2017,2,Chubut,35.54601117914412,35.66,-0.33
2017,3,Chubut,46.21537746651841,35.55,30.02
2017,4,Chubut,51.46309626749354,46.22,11.35
2018,1,Chubut,53.71560488248906,51.46,4.38
2018,2,Chubut,54.90230333735512,53.72,2.21
2018,3,Chubut,56.391745852269025,54.9,2.71
2018,4,Chubut,42.61093609604538,56.39,-24.44
2019,1,Chubut,42.99773633717796,42.61,0.91
2019,2,Chubut,46.98798413626923,43.0,9.28
2019,3,Chubut,47.56624162293312,46.99,1.23
2019,4,Chubut,51.145017855147124,47.57,7.52
2020,1,Chubut,51.26848941909703,51.15,0.24
2020,2,Chubut,57.344613387235526,51.27,11.85
2020,3,Chubut,68.34389815720037,57.34,19.18
2020,4,Chubut,68.35189915825622,68.34,0.01
2021,1,Chubut,68.9942808881567,68.35,0.94
2021,2,Chubut,72.29410481936469,68.99,4.78
2021,3,Chubut,80.70973847657562,72.29,11.64
2021,4,Chubut,82.57340063871433,80.71,2.31
2022,1,Chubut,88.05274093835774,82.57,6.64
2022,2,Chubut,83.19,88.05,-5.52
2022,3,Chubut,84.38,83.19,1.43
2022,4,Chubut,85.57,84.38,1.41
2023,1,Chubut,85.89,85.57,0.37
2023,2,Chubut,82.49,85.89,-3.96
2023,3,Chubut,84.23,82.49,2.11
2023,4,Chubut,84.96,84.23,0.87
2014,1,Corrientes,22.316716713838876,0.0,0.0
2014,2,Corrientes,22.575613003243586,22.32,1.16
2014,3,Corrientes,22.78753503515243,22.58,0.94
2014,4,Corrientes,23.56243099277512,22.79,3.4
2015,1,Corrientes,28.95019128190928,23.56,22.87
2015,2,Corrientes,29.584012668108493,28.95,2.19
2015,3,Corrientes,30.16741240901903,29.58,1.97
2015,4,Corrientes,30.33643144533882,30.17,0.56
2016,1,Corrientes,30.080785004133055,30.34,-0.84
2016,2,Corrientes,30.580162046616557,30.08,1.66
2016,3,Corrientes,31.066878826051184,30.58,1.59
2016,4,Corrientes,30.98107037649768,31.07,-0.28
2017,1,Corrientes,30.940600109644144,30.98,-0.13
2017,2,Corrientes,31.38612136835505,30.94,1.44
2017,3,Corrientes,32.16543574593796,31.39,2.48
2017,4,Corrientes,32.51511831118755,32.17,1.09
2018,1,Corrientes,32.66346087317512,32.52,0.46
2018,2,Corrientes,33.80975390881165,32.66,3.51
2018,3,Corrientes,34.24993887383215,33.81,1.3
2018,4,Corrientes,34.56627656869549,34.25,0.92
2019,1,Corrientes,35.13498688698812,34.57,1.65
2019,2,Corrientes,38.15558588418795,35.13,8.6
2019,3,Corrientes,38.48535113586719,38.16,0.86
2019,4,Corrientes,38.767440989262106,38.49,0.73
2020,1,Corrientes,38.729079942230904,38.77,-0.1
2020,2,Corrientes,40.30476267979574,38.73,4.07
2020,3,Corrientes,41.750749470464434,40.3,3.59
2020,4,Corrientes,42.42828394694903,41.75,1.62
2021,1,Corrientes,42.664128438821415,42.43,0.56
2021,2,Corrientes,43.5411637336848,42.66,2.06
2021,3,Corrientes,44.90088312664412,43.54,3.12
2021,4,Corrientes,45.51016102946347,44.9,1.36
2022,1,Corrientes,47.644635141502334,45.51,4.69
2022,2,Corrientes,48.35,47.64,1.48
2022,3,Corrientes,48.21,48.35,-0.29
2022,4,Corrientes,51.64,48.21,7.11
2023,1,Corrientes,52.05,51.64,0.79
2023,2,Corrientes,52.37,52.05,0.61
2023,3,Corrientes,52.78,52.37,0.78
2023,4,Corrientes,52.56,52.78,-0.42
2014,1,Córdoba,52.517847544006315,0.0,0.0
2014,2,Córdoba,53.448126115625996,52.52,1.77
2014,3,Córdoba,54.23361028299935,53.45,1.47
2014,4,Córdoba,54.69689679332299,54.23,0.85
2015,1,Córdoba,54.69734650188214,54.7,0.0
2015,2,Córdoba,55.86916350781819,54.7,2.14
2015,3,Córdoba,57.08340378951846,55.87,2.17
2015,4,Córdoba,57.364881766079215,57.08,0.49
2016,1,Córdoba,55.283092783740216,57.36,-3.63
2016,2,Córdoba,57.54798052828644,55.28,4.1
2016,3,Córdoba,58.24381625803197,57.55,1.21
2016,4,Córdoba,57.696719154378975,58.24,-0.94
2017,1,Córdoba,57.65332959287443,57.7,-0.08
2017,2,Córdoba,58.973528908003566,57.65,2.29
2017,3,Córdoba,62.30700225296333,58.97,5.65
2017,4,Córdoba,63.33262565207773,62.31,1.65
2018,1,Córdoba,63.51716965201617,63.33,0.29
2018,2,Córdoba,63.2743661231958,63.52,-0.38
2018,3,Córdoba,64.24210026029336,63.27,1.53
2018,4,Córdoba,65.08926459112368,64.24,1.32
2019,1,Córdoba,65.5173840768055,65.09,0.66
2019,2,Córdoba,68.07130938789848,65.52,3.9
2019,3,Córdoba,68.59234901069021,68.07,0.77
2019,4,Córdoba,70.48295566244217,68.59,2.76
2020,1,Córdoba,70.6880744339108,70.48,0.29
2020,2,Córdoba,72.71358531242393,70.69,2.87
2020,3,Córdoba,75.22035723669207,72.71,3.45
2020,4,Córdoba,78.07960876338194,75.22,3.8
2021,1,Córdoba,78.59028062380018,78.08,0.65
2021,2,Córdoba,80.11518795931242,78.59,1.94
2021,3,Córdoba,81.2845665540848,80.12,1.46
2021,4,Córdoba,84.50941853046088,81.28,3.97
2022,1,Córdoba,85.75745356313551,84.51,1.48
2022,2,Córdoba,87.48,85.76,2.01
2022,3,Córdoba,88.31,87.48,0.95
2022,4,Córdoba,89.03,88.31,0.82
2023,1,Córdoba,88.84,89.03,-0.21
2023,2,Córdoba,90.13,88.84,1.45
2023,3,Córdoba,90.05,90.13,-0.09
2023,4,Córdoba,90.67,90.05,0.69
2014,1,Entre Ríos,34.367121821250166,0.0,0.0
2014,2,Entre Ríos,34.687432371459764,34.37,0.93
2014,3,Entre Ríos,34.981647333712985,34.69,0.85
2014,4,Entre Ríos,36.0254708519679,34.98,2.98
2015,1,Entre Ríos,42.06519337351208,36.03,16.77
2015,2,Entre Ríos,42.93197901645878,42.07,2.06
2015,3,Entre Ríos,43.67718163526334,42.93,1.74
2015,4,Entre Ríos,44.10854807300098,43.68,0.99
2016,1,Entre Ríos,43.84596814466226,44.11,-0.6
2016,2,Entre Ríos,44.73887454518738,43.85,2.04
2016,3,Entre Ríos,45.43514088447326,44.74,1.56
2016,4,Entre Ríos,45.208402854677,45.44,-0.5
2017,1,Entre Ríos,44.907273687041226,45.21,-0.67
2017,2,Entre Ríos,45.38933102824724,44.91,1.07
2017,3,Entre Ríos,45.95812167017718,45.39,1.25
2017,4,Entre Ríos,47.885245293746834,45.96,4.19
2018,1,Entre Ríos,48.68120241785722,47.89,1.66
2018,2,Entre Ríos,49.20261187052838,48.68,1.07
2018,3,Entre Ríos,50.222013858377494,49.2,2.07
2018,4,Entre Ríos,54.37477348639939,50.22,8.27
2019,1,Entre Ríos,56.78815996169284,54.37,4.44
2019,2,Entre Ríos,57.47823458872391,56.79,1.22
2019,3,Entre Ríos,57.90009945796624,57.48,0.73
2019,4,Entre Ríos,57.99221691704514,57.9,0.16
2020,1,Entre Ríos,56.12006051437216,57.99,-3.23
2020,2,Entre Ríos,56.538654739709614,56.12,0.75
2020,3,Entre Ríos,58.1901640924315,56.54,2.92
2020,4,Entre Ríos,59.47430676097378,58.19,2.21
2021,1,Entre Ríos,60.439449728342346,59.47,1.62
2021,2,Entre Ríos,61.660264464787886,60.44,2.02
